"BindingDB MonomerID","Ligand SMILES","Gbinding Average"
50005282,"OC(c1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)n2ccccc12)c1cccnc1",5.4111
50006447,"CC(C)(CO)c1cc(NC(=O)C(C)(C)S(=O)(=O)C2CCOCC2)on1",3.8239
50008022,"COc1ccc(cc1)C(=O)c1c2CCC(CN3CCOCC3)n2c2ccccc12",9.4949
50008029,"COc1ccc(cc1)C(=O)c1c(C)n(CCN2CCOCC2)c2ccccc12",6.3439
50023629,"Clc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",7.0055
50023630,"Clc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCCC2)cc1",7.0223
50023631,"Clc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(NC3CCCC3)n2)cc1",6.3002
50023632,"CC(=O)Nc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.6003
50023633,"O=C(Nc1ccc(cc1)C#N)Nc1cccc(c1)-c1cccc(n1)N1CCCC1",7.4815
50023663,"Clc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1Cl",6.7932
50023664,"Clc1cc(Cl)cc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)c1",6.1451
50023665,"CN(C)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",7.5686
50023666,"CCCCNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",7.0315
50023667,"Fc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",7.4949
50023669,"Clc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cn1",6.8697
50023670,"Cc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",6.6925
50023671,"COc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",6.7235
50023672,"CN(C)c1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",5.7852
50023673,"O=C(Nc1ccc2OCOc2c1)Nc1cccc(c1)-c1cccc(n1)N1CCCC1",6.5058
50023674,"Cc1cc(C)cc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)c1",5.7258
50023679,"Clc1cccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)c1",6.6421
50023686,"O=C(Nc1cccc(c1)-c1cccc(n1)N1CCCC1)Nc1ccc2ccccc2c1",6.0516
50023687,"CCN(CC)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.9031
