BindingDB MonomerID,Ligand SMILES,Gbinding Average
21308,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(O)c(O)cc23)C1(C)C,6.4034
21309,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc4OCOc4cc23)C1(C)C,7.5528
21310,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(N)cc23)C1(C)C,6
21311,"CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccccc23)C1(C)C, CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccccc23)C1(C)C, CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccccc23)C1(C)C",6.1931
21315,COc1ccc2c(cn(CCN3CCOCC3)c2c1)C(=O)C1C(C)(C)C1(C)C,5.8911
21317,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cc(OCc4ccccc4)ccc23)C1(C)C,6.0061
21320,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cccc(N)c23)C1(C)C,5.4559
21322,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cccc(NS(C)(=O)=O)c23)C1(C)C,5.3897
21325,"CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(cc23)C#N)C1(C)C, CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(cc23)C#N)C1(C)C",5.4792
21328,"COCc1ccc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2c1, COCc1ccc2n(CC3CCOCC3)cc(C(=O)C3C(C)(C)C3(C)C)c2c1",5.7693
21330,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(cc23)-c2ccccc2)C1(C)C,5.727
21331,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(ccc23)C#N)C1(C)C,7.5086
21333,COC(=O)c1ccc2c(cn(CC3CCOCC3)c2c1)C(=O)C1C(C)(C)C1(C)C,7.6021
21334,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(ccc23)-c2ccccc2)C1(C)C,6.6421
